ID,ENROLL_YEAR,DEGREE,COURSE_CODE,COURSE_NAME,CREDITS
242214122,2014,S1,23211720,LAB AUDIT,3
242214123,2014,S1,23211720,LAB AUDIT,3
242214529,2014,S1,23211720,LAB AUDIT,3
242214103,2014,S1,23211720,LAB AUDIT,3
242214104,2014,S1,23211720,LAB AUDIT,3
242214105,2014,S1,23211720,LAB AUDIT,3
242214107,2014,S1,23211720,LAB AUDIT,3
242214109,2014,S1,23211720,LAB AUDIT,3
242214111,2014,S1,23211720,LAB AUDIT,3
242214112,2014,S1,23211720,LAB AUDIT,3
242214113,2014,S1,23211720,LAB AUDIT,3
242214114,2014,S1,23211720,LAB AUDIT,3
242214115,2014,S1,23211720,LAB AUDIT,3
242214117,2014,S1,23211720,LAB AUDIT,3
242214118,2014,S1,23211720,LAB AUDIT,3
242214121,2014,S1,23211720,LAB AUDIT,3
242214102,2014,S1,23211720,LAB AUDIT,3
242214106,2014,S1,23211720,LAB AUDIT,3
242214110,2014,S1,23211720,LAB AUDIT,3
242214116,2014,S1,23211720,LAB AUDIT,3
242214502,2014,S1,23211720,LAB AUDIT,3
242214503,2014,S1,23211720,LAB AUDIT,3
242214504,2014,S1,23211720,LAB AUDIT,3
242214506,2014,S1,23211720,LAB AUDIT,3
242214508,2014,S1,23211720,LAB AUDIT,3
242214510,2014,S1,23211720,LAB AUDIT,3
242214511,2014,S1,23211720,LAB AUDIT,3
242214512,2014,S1,23211720,LAB AUDIT,3
242214514,2014,S1,23211720,LAB AUDIT,3
242214519,2014,S1,23211720,LAB AUDIT,3
242214520,2014,S1,23211720,LAB AUDIT,3
242214522,2014,S1,23211720,LAB AUDIT,3
242214523,2014,S1,23211720,LAB AUDIT,3
242214524,2014,S1,23211720,LAB AUDIT,3
242214528,2014,S1,23211720,LAB AUDIT,3
242215501,2015,S1,23211720,LAB AUDIT,3
242215503,2015,S1,23211720,LAB AUDIT,3
242215504,2015,S1,23211720,LAB AUDIT,3
242215514,2015,S1,23211720,LAB AUDIT,3
242215521,2015,S1,23211720,LAB AUDIT,3
242215526,2015,S1,23211720,LAB AUDIT,3
242215528,2015,S1,23211720,LAB AUDIT,3
242215529,2015,S1,23211720,LAB AUDIT,3
242215537,2015,S1,23211720,LAB AUDIT,3
242215543,2015,S1,23211720,LAB AUDIT,3
242214507,2014,S1,23211720,LAB AUDIT,3
242214527,2014,S1,23211720,LAB AUDIT,3
242214531,2014,S1,23211720,LAB AUDIT,3
242214532,2014,S1,23211720,LAB AUDIT,3
242214534,2014,S1,23211720,LAB AUDIT,3
242214538,2014,S1,23211720,LAB AUDIT,3
242214540,2014,S1,23211720,LAB AUDIT,3
242214541,2014,S1,23211720,LAB AUDIT,3
242214542,2014,S1,23211720,LAB AUDIT,3
242214543,2014,S1,23211720,LAB AUDIT,3
242214545,2014,S1,23211720,LAB AUDIT,3
242214546,2014,S1,23211720,LAB AUDIT,3
242214547,2014,S1,23211720,LAB AUDIT,3
242214548,2014,S1,23211720,LAB AUDIT,3
242214549,2014,S1,23211720,LAB AUDIT,3
242214551,2014,S1,23211720,LAB AUDIT,3
242214552,2014,S1,23211720,LAB AUDIT,3
242214553,2014,S1,23211720,LAB AUDIT,3
242214556,2014,S1,23211720,LAB AUDIT,3
242215901,2015,S1,23211720,LAB AUDIT,3
242214106,2014,S1,23311723,AUDIT FORENSIK,3
242215501,2015,S1,23311723,AUDIT FORENSIK,3
242215503,2015,S1,23311723,AUDIT FORENSIK,3
242215504,2015,S1,23311723,AUDIT FORENSIK,3
242215514,2015,S1,23311723,AUDIT FORENSIK,3
242215521,2015,S1,23311723,AUDIT FORENSIK,3
242215526,2015,S1,23311723,AUDIT FORENSIK,3
242215528,2015,S1,23311723,AUDIT FORENSIK,3
242215529,2015,S1,23311723,AUDIT FORENSIK,3
242215537,2015,S1,23311723,AUDIT FORENSIK,3
242215543,2015,S1,23311723,AUDIT FORENSIK,3
242214556,2014,S1,23311723,AUDIT FORENSIK,3
231217001,2017,D3,22116125,PANCASILA DAN KEWARGANEGARAAN,3
231217003,2017,D3,22116125,PANCASILA DAN KEWARGANEGARAAN,3
231217007,2017,D3,22116125,PANCASILA DAN KEWARGANEGARAAN,3
231217009,2017,D3,22116125,PANCASILA DAN KEWARGANEGARAAN,3
231217010,2017,D3,22116125,PANCASILA DAN KEWARGANEGARAAN,3
231217011,2017,D3,22116125,PANCASILA DAN KEWARGANEGARAAN,3
231217013,2017,D3,22116125,PANCASILA DAN KEWARGANEGARAAN,3
231217006,2017,D3,22116125,PANCASILA DAN KEWARGANEGARAAN,3
231217004,2017,D3,22116125,PANCASILA DAN KEWARGANEGARAAN,3
231217005,2017,D3,22116125,PANCASILA DAN KEWARGANEGARAAN,3
